product_names,prices,product_urls
동서식품   맥심 모카골드 마일드 커피믹스 230T,"  112,064",https://www.ssg.com/item/itemView.ssg?itemId=1000565293735&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품 맥심 모카골드 마일드 커피믹스 스틱 12g 250개입 [1개],"  112,300",https://www.ssg.com/item/itemView.ssg?itemId=1000518783268&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피믹스 280 스틱,"  120,900",https://www.ssg.com/item/itemView.ssg?itemId=1000273017089&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피믹스 스틱 400개입,"  131,300",https://www.ssg.com/item/itemView.ssg?itemId=1000500905784&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품 맥심 모카골드 마일드 커피믹스 스틱 400개입,"  131,300",https://www.ssg.com/item/itemView.ssg?itemId=1000518879265&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
제이큐   맥심 자판기용 커피믹스 모카골드 마일드 1kg x 5개,"  133,010",https://www.ssg.com/item/itemView.ssg?itemId=1000064457644&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피믹스 1kg x10개입,"  134,030",https://www.ssg.com/item/itemView.ssg?itemId=1000200029793&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피믹스 1kg 10개 자판기용,"  136,000",https://www.ssg.com/item/itemView.ssg?itemId=1000522251754&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피믹스스틱 210개입 X 4박스,"  179,500",https://www.ssg.com/item/itemView.ssg?itemId=1000497748252&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품   [맥심]  모카골드 마일드 커피믹스 250T X 4개 (1박스) /선물용,"  179,500",https://www.ssg.com/item/itemView.ssg?itemId=1000050002998&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품   맥심 모카골드 마일드 커피믹스 100T,"  181,170",https://www.ssg.com/item/itemView.ssg?itemId=1000565284474&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
